ZipCode,City,State,Latitude,Longitude,Classification,Population
"37347","JASPER","TN","35.0608","-85.6238","","7559"
"37348","KELSO","TN","35.1151","-86.4335","","1131"
"37349","MANCHESTER","TN","35.4672","-86.0702","P","0"
"37350","LOOKOUT MOUNTAIN","TN","34.9974","-85.3530","","1866"
"37351","LUPTON CITY","TN","35.1038","-85.2643","","390"
"37352","LYNCHBURG","TN","35.2395","-86.3576","","3268"
"37353","MC DONALD","TN","35.1267","-84.9722","","4513"
"37354","MADISONVILLE","TN","35.5034","-84.3559","","16483"
"37355","MANCHESTER","TN","35.5122","-86.0687","","25596"
"37356","MONTEAGLE","TN","35.2368","-85.8260","","2486"
"37357","MORRISON","TN","35.5834","-85.9345","","5512"
"37359","MULBERRY","TN","35.1991","-86.4171","","783"
"37360","NORMANDY","TN","35.4486","-86.2479","","1732"
"37361","OCOEE","TN","35.1118","-84.6863","","1478"
"37362","OLD FORT","TN","35.0560","-84.6457","","3395"
"37363","OOLTEWAH","TN","35.1184","-85.0742","","32244"
"37364","CLEVELAND","TN","35.1595","-84.8764","P","0"
"37365","PALMER","TN","35.3836","-85.5781","","1314"
"37366","PELHAM","TN","35.3217","-85.8513","","828"
"37367","PIKEVILLE","TN","35.6132","-85.2083","","10247"
"37369","RELIANCE","TN","35.2022","-84.5164","","956"
"37370","RICEVILLE","TN","35.3520","-84.7123","","4652"
"37371","ATHENS","TN","35.4428","-84.5934","P","0"
"37373","SALE CREEK","TN","35.3960","-85.1164","","3074"
"37374","SEQUATCHIE","TN","35.1647","-85.6614","","2047"
"37375","SEWANEE","TN","35.1572","-85.8935","","3711"
"37376","SHERWOOD","TN","35.0593","-85.9661","","418"
"37377","SIGNAL MOUNTAIN","TN","35.1858","-85.3280","","15310"
"37378","SMARTT","TN","35.6544","-85.8274","P","0"
"37379","SODDY DAISY","TN","35.3001","-85.1796","","26835"
"37380","SOUTH PITTSBURG","TN","35.1035","-85.7157","","6289"
"37381","SPRING CITY","TN","35.6771","-84.8627","","8855"
"37382","SUMMITVILLE","TN","35.5597","-85.9926","P","0"
"37383","SEWANEE","TN","35.2066","-85.9192","U","0"
"37384","SODDY DAISY","TN","35.2636","-85.1756","P","0"
"37385","TELLICO PLAINS","TN","35.3219","-84.2538","","8131"
"37387","TRACY CITY","TN","35.2727","-85.7057","","3323"
"37388","TULLAHOMA","TN","35.3492","-86.2027","","24494"
"37389","ARNOLD AFB","TN","35.3605","-86.2138","","0"
"37391","TURTLETOWN","TN","35.1428","-84.3869","","1598"
"37394","VIOLA","TN","35.5380","-85.8611","P","105"
"37396","WHITESIDE","TN","35.0537","-85.3996","","257"
"37397","WHITWELL","TN","35.1727","-85.5144","","10127"
"37398","WINCHESTER","TN","35.1976","-86.1300","","14347"
"37401","CHATTANOOGA","TN","35.0459","-85.3097","P","0"
"37402","CHATTANOOGA","TN","35.0468","-85.3147","","3917"
"37403","CHATTANOOGA","TN","35.0470","-85.2931","","5811"
"37404","CHATTANOOGA","TN","35.0242","-85.2720","","13327"
"37405","CHATTANOOGA","TN","35.1281","-85.3832","","14597"
"37406","CHATTANOOGA","TN","35.0714","-85.2468","","14627"
"37407","CHATTANOOGA","TN","35.0040","-85.2894","","8932"
"37408","CHATTANOOGA","TN","35.0296","-85.3091","","1486"
"37409","CHATTANOOGA","TN","35.0042","-85.3495","","2851"
"37410","CHATTANOOGA","TN","35.0046","-85.3136","","3886"
"37411","CHATTANOOGA","TN","35.0284","-85.2306","","17587"
"37412","CHATTANOOGA","TN","35.0027","-85.2238","","20951"
"37414","CHATTANOOGA","TN","35.0459","-85.3106","P","0"
"37415","CHATTANOOGA","TN","35.1288","-85.2590","","23873"
"37416","CHATTANOOGA","TN","35.1099","-85.1843","","14486"
"37419","CHATTANOOGA","TN","35.0522","-85.4218","","6100"
"37421","CHATTANOOGA","TN","35.0292","-85.1551","","46228"
"37422","CHATTANOOGA","TN","35.0459","-85.3097","P","0"
"37424","CHATTANOOGA","TN","35.0457","-85.3094","P","0"
"37450","CHATTANOOGA","TN","35.0459","-85.3097","","0"
"37501","MEMPHIS","TN","35.1496","-90.0487","U","0"
"37544","MEMPHIS","TN","35.1500","-90.0500","U","0"
"37601","JOHNSON CITY","TN","36.3200","-82.3309","","36182"
"37602","JOHNSON CITY","TN","36.3136","-82.3538","P","0"
"37604","JOHNSON CITY","TN","36.3141","-82.3815","","34245"
"37605","JOHNSON CITY","TN","36.3136","-82.3538","P","0"
"37614","JOHNSON CITY","TN","36.3030","-82.3673","P","2107"
"37615","JOHNSON CITY","TN","36.3902","-82.4516","","19560"
"37616","AFTON","TN","36.2253","-82.7399","","4874"
"37617","BLOUNTVILLE","TN","36.5267","-82.3820","","14251"
"37618","BLUFF CITY","TN","36.4668","-82.2017","","12747"
"37620","BRISTOL","TN","36.5374","-82.0760","","39102"
"37621","BRISTOL","TN","36.5950","-82.1889","P","0"
"37625","BRISTOL","TN","36.5950","-82.1889","P","0"
"37640","BUTLER","TN","36.3276","-81.9956","","3743"
"37641","CHUCKEY","TN","36.2253","-82.6550","","8567"
"37642","CHURCH HILL","TN","36.4932","-82.7304","","14947"
"37643","ELIZABETHTON","TN","36.3665","-82.1185","","33689"
"37644","ELIZABETHTON","TN","36.3489","-82.2106","P","0"
"37645","MOUNT CARMEL","TN","36.5366","-82.6525","","5145"
"37650","ERWIN","TN","36.0917","-82.4711","","12750"
"37656","FALL BRANCH","TN","36.3923","-82.6372","","3677"
"37657","FLAG POND","TN","36.0234","-82.5530","","972"
"37658","HAMPTON","TN","36.2531","-82.1704","","4386"
"37659","JONESBOROUGH","TN","36.2856","-82.4729","","27585"
"37660","KINGSPORT","TN","36.5134","-82.5536","","40038"
"37662","KINGSPORT","TN","36.5486","-82.5619","P","0"
"37663","KINGSPORT","TN","36.4624","-82.4824","","14617"
"37664","KINGSPORT","TN","36.5011","-82.5095","","26880"
"37665","KINGSPORT","TN","36.5785","-82.5747","","5589"
"37669","KINGSPORT","TN","36.5486","-82.5619","U","0"
"37680","LAUREL BLOOMERY","TN","36.5522","-81.7222","","766"
"37681","LIMESTONE","TN","36.2524","-82.6265","","6121"
"37682","MILLIGAN COLLEGE","TN","36.3017","-82.2994","P","667"
"37683","MOUNTAIN CITY","TN","36.4515","-81.8384","","13021"
"37684","MOUNTAIN HOME","TN","36.3087","-82.3752","P","0"
"37686","PINEY FLATS","TN","36.4428","-82.3459","","7072"
"37687","ROAN MOUNTAIN","TN","36.1847","-82.0998","","5038"
"37688","SHADY VALLEY","TN","36.5409","-81.8710","","1018"
"37690","TELFORD","TN","36.2369","-82.5591","","4122"
"37691","TRADE","TN","36.3734","-81.7495","","894"
"37692","UNICOI","TN","36.1862","-82.3117","","4770"
"37694","WATAUGA","TN","36.3829","-82.2752","","1955"
"37699","PINEY FLATS","TN","36.4194","-82.3042","U","0"
"37701","ALCOA","TN","35.8006","-83.9846","","6817"
"37705","ANDERSONVILLE","TN","36.2299","-84.0216","","4559"
"37707","ARTHUR","TN","36.5482","-83.6708","P","0"
"37708","BEAN STATION","TN","36.3283","-83.3448","","6563"
"37709","BLAINE","TN","36.1697","-83.6609","","3732"
"37710","BRICEVILLE","TN","36.1559","-84.3047","","1141"
"37711","BULLS GAP","TN","36.2810","-83.0253","","5044"
"37713","BYBEE","TN","36.1044","-83.1238","","1488"
"37714","CARYVILLE","TN","36.2962","-84.2498","","4547"
"37715","CLAIRFIELD","TN","36.5310","-83.8524","","1000"
"37716","CLINTON","TN","36.0888","-84.1718","","25749"
